Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Video Views,Paid Conversions,Paid Leads,Paid Qualified Leads
Jain (Deemed-to-be University),https://www.linkedin.com/company/jaindeemedtobeuniversity,High,116,202,790,,,111,,,
"Postgraduate Institute of Medical Education and Research (PGIMER), Chandigarh",https://www.linkedin.com/company/post-graduate-institute-of-medical-sciences,High,85,145,496,,,131,,,
"AIIMS (All India Institute of Medical Sciences, New Delhi)",https://www.linkedin.com/company/aiimsdelhi,High,72,71,472,,,92,,,
SR University,https://www.linkedin.com/company/sr-university,High,68,89,468,,,41,,,
Dayananda Sagar University,https://www.linkedin.com/company/dayananda-sagar-university-bangalore,High,79,86,346,,,77,,,
Yenepoya University,https://www.linkedin.com/company/yenepoya-university,High,73,77,318,,,29,,,
Indian Council of Medical Research (ICMR),https://www.linkedin.com/company/icmrorganization,Very High,581,738,309,,,65,,,
Bharati Vidyapeeth,https://www.linkedin.com/company/bharatividyapeeth,Very High,103,112,301,,,39,,,
"Kasturba Medical College, Manipal",https://www.linkedin.com/company/kasturbamedicalcollegemanipal,High,82,82,229,,,30,,,
KLE Technological University - Hubballi (India),https://www.linkedin.com/company/kletechbvb,High,44,46,222,,,26,,,
M. S. RAMAIAH UNIVERSITY OF APPLIED SCIENCES,https://www.linkedin.com/company/m-s-ramaiah-university-of-applied-sciences,Very High,49,93,183,,,10,,,
JSS Academy of Higher Education & Research,https://www.linkedin.com/company/jssaher-mysuru,Very High,77,106,168,,,30,,,
Vydehi Institute Of Medical Sciences and Research Centre,https://www.linkedin.com/company/vydehi-institute-of-medical-sciences-and-research-centre,High,16,36,158,,,17,,,
Amrita Institute of Medical Sciences and Research Centre,https://www.linkedin.com/company/kochicampus,Very High,59,60,155,,,26,,,
"ITM UNIVERSITY, GWALIOR",https://www.linkedin.com/company/itm-university-gwalior,High,38,39,152,,,20,,,
King George's Medical University,https://www.linkedin.com/company/kgmu,Very High,49,61,149,,,23,,,
"Assam Don Bosco University, Guwahati",https://www.linkedin.com/company/dbuniversity,High,16,22,119,,,5,,,
Rajiv Gandhi University of Health Sciences,https://www.linkedin.com/company/rajiv-gandhi-university-of-health-sciences,Very High,79,99,119,,,9,,,
"National Institute of Mental Health and Neuro Sciences (NIMHANS), India",https://www.linkedin.com/company/shri-sharada-b.ed.-college-bm-road-ramanagaram-571-511.,Very High,41,61,113,,,6,,,
KLE Academy of Higher Education and Research,https://www.linkedin.com/company/kaher-edu-in,Very High,3519,4832,105,,,8,,,
Maharashtra University of Health Sciences,https://www.linkedin.com/company/maharashtra-university-of-health-sciences,Very High,73,82,105,,,19,,,
Datta Meghe Institute of Higher Education and Research Deemed to be University-DMIHER,https://www.linkedin.com/company/dmimsu,High,34,35,101,,,7,,,
Presidency School,https://www.linkedin.com/company/presidencyschool,Very High,42,42,101,,,4,,,
International Institute for Population Sciences,https://www.linkedin.com/company/iipsumbai,Very High,55,54,100,,,34,,,
Indian Institute of Technology Dharwad,https://www.linkedin.com/company/iitdharwad,High,11,22,100,,,11,,,
NIMHANS,https://www.linkedin.com/company/nimhans,High,21,36,99,,,16,,,
Royal College of Physicians,https://www.linkedin.com/company/royal-college-of-physicians,Very High,101,128,98,,,44,,,
"Govt. Medical College, Nagpur",https://www.linkedin.com/company/govt.-medical-college-nagpur,High,14,15,92,,,26,,,
JAWAHARLAL NEHRU MEDICAL COLLEGE,https://www.linkedin.com/company/jawaharlal-nehru-medical-college,Very High,533,801,89,,,3,,,
"JSS Medical College, Mysore",https://www.linkedin.com/company/jss-medical-college-mysore,Very High,77,80,83,,,9,,,
Pondicherry Institute of Medical Sciences,https://www.linkedin.com/company/pondicherry-institute-of-medical-sciences,Very High,22,53,83,,,10,,,
Nitte University,https://www.linkedin.com/company/nitteuniversity,Very High,45,61,83,,,26,,,
American Academy of Neurology,https://www.linkedin.com/company/american-academy-of-neurology,Very High,52,70,81,,,36,,,
Nitte University,https://www.linkedin.com/company/nitteuni,High,18,19,76,,,3,,,
TRANSLATIONAL HEALTH SCIENCE AND TECHNOLOGY INSTITUTE,https://www.linkedin.com/company/translational-health-science-and-technology-institute,Very High,39,68,76,,,34,,,
SANJIVANI UNIVERSITY,https://www.linkedin.com/company/sanjivani-university,High,20,20,75,,,3,,,
MSAI - Medical Students' Association of India,https://www.linkedin.com/company/msaindia,Very High,137,177,75,,,8,,,
SMS Medical College - India,https://www.linkedin.com/company/sms-medical-college---india,Very High,71,77,75,,,9,,,
Krishna Vishwa Vidyapeeth 'Deemed to be University',https://www.linkedin.com/company/krishna-institute-of-medical-sciences-deemed-university-karad,Very High,121,128,69,,,16,,,
Ramaiah University of Applied Sciences,https://www.linkedin.com/company/ramaiahuniversity,Very High,22,25,67,,,4,,,
CMS Business School,https://www.linkedin.com/company/cmsbschool,Very High,31,41,67,,,11,,,
Karnatak University,https://www.linkedin.com/company/karnatak-university,High,11,11,66,,,,,,
Yenepoya (Deemed to be University),https://www.linkedin.com/company/yenepoya-deemed-to-be-university,High,9,11,64,,,,,,
Ballari Institute of Technology and Management,https://www.linkedin.com/company/ballari-institute-of-technology-and-management,High,10,14,64,,,5,,,
National Institute of Mental Health and Neuro Sciences,https://www.linkedin.com/company/national-institute-of-mental-health-and-neuro-sciences,Very High,86,100,64,,,14,,,
"ITS Dental College, Greater Noida",https://www.linkedin.com/company/itsdentalgn,Very High,79,97,62,,,13,,,
"Amrita Vishwa Vidyapeetham, Kochi Campus",https://www.linkedin.com/company/amritakochi,High,10,11,61,,,7,,,
PSG INSTITUTE OF MEDICAL SCIENCES & RESEARCH (Inst. Code - 012),https://www.linkedin.com/company/psg-institute-of-medical-sciences-research-inst-code-012,High,3,10,58,,,16,,,
"KLE Institute of Technology, HUBLI",https://www.linkedin.com/company/kle-institute-of-technology-hubli,Very High,39,78,56,,,3,,,
ICMR National Institute of Epidemiology (ICMR - NIE),https://www.linkedin.com/company/icmr-nie,High,20,20,56,,,32,,,
All India Institute Of Ayurveda,https://www.linkedin.com/company/all-india-institute-of-ayurveda,Very High,26,35,55,,,7,,,
Mamata Medical College,https://www.linkedin.com/company/mamata-medical-college,Very High,21,22,54,,,4,,,
BLDE University,https://www.linkedin.com/company/blde-university,High,5,8,52,,,17,,,
Translational Health Science and Technology Institute (THSTI),https://www.linkedin.com/company/translational-health-science-and-technology-institute-thsti,Very High,52,66,51,,,6,,,
Fortis Memorial Research Institute - India,https://www.linkedin.com/company/fortis-memorial-research-institute---india,Very High,8,19,50,,,12,,,
National Institute for Locomotor Disabilities,https://www.linkedin.com/company/national-institute-for-locomotor-disabilities,High,7,8,49,,,12,,,
Ramaiah Medical College,https://www.linkedin.com/company/m.s.-ramaiah-medical-college,Very High,38,81,49,,,,,,
Shri Dharmasthala Manjunatheshwara University,https://www.linkedin.com/company/sdmuniversity,Very High,43,57,48,,,14,,,
"Karnataka University, Dharwad",https://www.linkedin.com/company/karnataka-university-dharwad,High,7,8,48,,,4,,,
